Original ID	ARO	Gene Name in CARD	Description
447203987|WP_001281243.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3003172 (ACT-37) by RGI
447204654|WP_001281910.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3007101 (BcIII) by RGI
487755227|WP_001836116.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3005466 (IMP-59) by RGI
488300672|WP_002371880.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3009035 (RAA-1) by RGI
488984872|WP_002895659.1|1|1|pmrA|pmrA|mutation|2|||two-component_system_response_regulator_PmrA	3000822		Previously mapped to ARO:3005063 (cprR) by RGI
489000713|WP_002911375.1|1|1|mgrB|mgrB|mutation|2|||PhoP/PhoQ_regulator_MgrB	3003820		Previously mapped to ARO:3000794 (mdtC) by RGI
490249900|WP_004147969.1|1|1|phoQ|phoQ|mutation|2|||two-component_system_sensor_histidine_kinase_PhoQ	3000835		Previously mapped to ARO:3000829 (baeS) by RGI
490252783|WP_004150807.1|1|1|phoP|phoP|mutation|2|||two-component_system_response_regulator_PhoP	3000834		Previously mapped to ARO:3003841 (kdpE) by RGI
49240387|WP_010956585.1|1|1|gyrB|gyrB|mutation|2|||DNA_topoisomerase_(ATP-hydrolyzing)_subunit_B_GyrB	3000864		Previously mapped to ARO:3000549 (adeS) by RGI
49240401|WP_000871610.1|1|1|walK|walK|mutation|2|||cell_wall_metabolism_sensor_histidine_kinase_WalK	3003795		Previously mapped to ARO:3000829 (baeS) by RGI
49240583|WP_001008722.1|1|1|uhpT|uhpT|mutation|2|||hexose_phosphate_transporter_UhpT	3003902		https://www.ncbi.nlm.nih.gov/protein/WP_001008722.1
49240902|WP_000567963.1|1|1|rpoC|rpoC|mutation|2|||DNA-directed_RNA_polymerase_subunit_beta_RpoC	3003291		Previously mapped to ARO:3003746 (optrA) by RGI
499327248|WP_011017740.1|1|1|folP|folP|mutation|2|||dihydropteroate_synthase_FolP	3003387		https://www.ncbi.nlm.nih.gov/protein/WP_011017740.1
557272689|WP_000623140.1|1|1|ptsI|ptsI|mutation|2|||phosphoenolpyruvate--protein_phosphotransferase_PtsI	3003899		Previously mapped to ARO:3003992 (rphB) by RGI
557273012|WP_000281668.1|1|1|cyaA|cyaA|mutation|2|||adenylate_cyclase_CyaA	3003900		Previously mapped to ARO:3003692 (MexJ) by RGI
557273135|WP_000633668.1|1|1|uhpA|uhpA|mutation|2|||DNA-binding_response_regulator_UhpA	3004249		Previously mapped to ARO:3000832 (evgA) by RGI
557273138|WP_000879194.1|1|1|uhpT|uhpT|mutation|2|||hexose_phosphate_transporter_UhpT	3004248		Previously mapped to ARO:3003048 (rosA) by RGI
685632466|WP_001289586.1|1|1|parC|parC|mutation|2|||DNA_topoisomerase_IV_subunit_A_ParC	3000274		Previously mapped to ARO:3008818 (OXY-8-2) by RGI
723059797|WP_033554192.1|1|1|parE|parE|mutation|2|||DNA_topoisomerase_IV_subunit_B_ParE	3000457		Previously mapped to ARO:3004074 (MuxB) by RGI
769549125|WP_002779062.1|1|1|gyrA|gyrA|mutation|2|||DNA_gyrase_subunit_A_GyrA	3003292		Previously mapped to ARO:3004541 (mphK) by RGI
85676345|WP_000072067.1|1|1|gyrB|gyrB|mutation|2|||DNA_topoisomerase_(ATP-hydrolyzing)_subunit_B_GyrB	3000864		Previously mapped to ARO:3004745 (MIR-23) by RGI
87203547|WP_000571549.1|1|1|cls|cls|mutation|2|||cardiolipin_synthase_Cls	3003272		Previously mapped to ARO:3002587 (AAC(6')-I33) by RGI
949628753|WP_057042458.1|1|1|rpsL|rpsL|mutation|2|||30S_ribosomal_protein_S12_RpsL	3003419		Previously mapped to ARO:3002669 (APH(2'')-Ig) by RGI
985479976|WP_002295408.1|1|1|liaF|liaF|mutation|2|||three-component_signaling_pathway_regulator_LiaF	3004262		Previously mapped to ARO:3002975 (vanT gene in vanN cluster) by RGI
489000713|WP_002911375.1:47:mgrB_W47R|1|1|mgrB|mgrB|mutation|2|||PhoP/PhoQ_regulator_MgrB	3003820		Previously mapped to ARO:3000794 (mdtC) by RGI
